index_name,month,year,value,source
igpm,12,2024.0,0.0654,realizado
ipca,12,2024.0,0.0483,realizado
inpc,12,2024.0,0.04769999999999999,realizado
igpm,1,2025.0,0.0635,previsto
igpm,2,2025.0,0.0616,previsto
igpm,3,2025.0,0.0597,previsto
igpm,4,2025.0,0.0578,previsto
igpm,5,2025.0,0.0559,previsto
igpm,6,2025.0,0.054,previsto
igpm,7,2025.0,0.0521,previsto
igpm,8,2025.0,0.0502,previsto
igpm,9,2025.0,0.0483,previsto
igpm,10,2025.0,0.0464,previsto
igpm,11,2025.0,0.0445,previsto
igpm,12,2025.0,0.0426,previsto
ipca,1,2025.0,0.0477,previsto
ipca,2,2025.0,0.0471,previsto
ipca,3,2025.0,0.0465,previsto
ipca,4,2025.0,0.0459,previsto
ipca,5,2025.0,0.0453,previsto
ipca,6,2025.0,0.0446,previsto
ipca,7,2025.0,0.044,previsto
ipca,8,2025.0,0.0434,previsto
ipca,9,2025.0,0.0428,previsto
ipca,10,2025.0,0.0422,previsto
ipca,11,2025.0,0.0416,previsto
ipca,12,2025.0,0.041,previsto
inpc,1,2025.0,0.0472,previsto
inpc,2,2025.0,0.0467,previsto
inpc,3,2025.0,0.0463,previsto
inpc,4,2025.0,0.0458,previsto
inpc,5,2025.0,0.0453,previsto
inpc,6,2025.0,0.0448,previsto
inpc,7,2025.0,0.0444,previsto
inpc,8,2025.0,0.0439,previsto
inpc,9,2025.0,0.0434,previsto
inpc,10,2025.0,0.043,previsto
inpc,11,2025.0,0.0425,previsto
inpc,12,2025.0,0.042,previsto
igpm,1,2026.0,0.0424,previsto
igpm,2,2026.0,0.0422,previsto
igpm,3,2026.0,0.042,previsto
igpm,4,2026.0,0.0417,previsto
igpm,5,2026.0,0.0415,previsto
igpm,6,2026.0,0.0413,previsto
igpm,7,2026.0,0.0411,previsto
igpm,8,2026.0,0.0409,previsto
igpm,9,2026.0,0.0406,previsto
igpm,10,2026.0,0.0404,previsto
igpm,11,2026.0,0.0402,previsto
igpm,12,2026.0,0.04,previsto
ipca,1,2026.0,0.0409,previsto
ipca,2,2026.0,0.0408,previsto
ipca,3,2026.0,0.0407,previsto
ipca,4,2026.0,0.0407,previsto
ipca,5,2026.0,0.0406,previsto
ipca,6,2026.0,0.0405,previsto
ipca,7,2026.0,0.0404,previsto
ipca,8,2026.0,0.0403,previsto
ipca,9,2026.0,0.0402,previsto
ipca,10,2026.0,0.0402,previsto
ipca,11,2026.0,0.0401,previsto
ipca,12,2026.0,0.04,previsto
inpc,1,2026.0,0.042,previsto
inpc,2,2026.0,0.042,previsto
inpc,3,2026.0,0.042,previsto
inpc,4,2026.0,0.042,previsto
inpc,5,2026.0,0.042,previsto
inpc,6,2026.0,0.042,previsto
inpc,7,2026.0,0.042,previsto
inpc,8,2026.0,0.042,previsto
inpc,9,2026.0,0.042,previsto
inpc,10,2026.0,0.042,previsto
inpc,11,2026.0,0.042,previsto
inpc,12,2026.0,0.042,previsto
igpm,1,2027.0,0.04,previsto
igpm,2,2027.0,0.0399,previsto
igpm,3,2027.0,0.0398,previsto
igpm,4,2027.0,0.0398,previsto
igpm,5,2027.0,0.0398,previsto
igpm,6,2027.0,0.0397,previsto
igpm,7,2027.0,0.0396,previsto
igpm,8,2027.0,0.0396,previsto
igpm,9,2027.0,0.0396,previsto
igpm,10,2027.0,0.0395,previsto
igpm,11,2027.0,0.0394,previsto
igpm,12,2027.0,0.0394,previsto
ipca,1,2027.0,0.0397,previsto
ipca,2,2027.0,0.0394,previsto
ipca,3,2027.0,0.039,previsto
ipca,4,2027.0,0.0387,previsto
ipca,5,2027.0,0.0384,previsto
ipca,6,2027.0,0.0381,previsto
ipca,7,2027.0,0.0378,previsto
ipca,8,2027.0,0.0375,previsto
ipca,9,2027.0,0.0372,previsto
ipca,10,2027.0,0.0368,previsto
ipca,11,2027.0,0.0365,previsto
ipca,12,2027.0,0.0362,previsto
inpc,1,2027.0,0.042,previsto
inpc,2,2027.0,0.042,previsto
inpc,3,2027.0,0.042,previsto
inpc,4,2027.0,0.042,previsto
inpc,5,2027.0,0.042,previsto
inpc,6,2027.0,0.042,previsto
inpc,7,2027.0,0.042,previsto
inpc,8,2027.0,0.042,previsto
inpc,9,2027.0,0.042,previsto
inpc,10,2027.0,0.042,previsto
inpc,11,2027.0,0.042,previsto
inpc,12,2027.0,0.042,previsto
igpm,1,2028.0,0.0394,previsto
igpm,2,2028.0,0.0394,previsto
igpm,3,2028.0,0.0394,previsto
igpm,4,2028.0,0.0394,previsto
igpm,5,2028.0,0.0394,previsto
igpm,6,2028.0,0.0394,previsto
igpm,7,2028.0,0.0394,previsto
igpm,8,2028.0,0.0394,previsto
igpm,9,2028.0,0.0394,previsto
igpm,10,2028.0,0.0394,previsto
igpm,11,2028.0,0.0394,previsto
igpm,12,2028.0,0.0394,previsto
ipca,1,2028.0,0.0362,previsto
ipca,2,2028.0,0.0362,previsto
ipca,3,2028.0,0.0362,previsto
ipca,4,2028.0,0.0362,previsto
ipca,5,2028.0,0.0362,previsto
ipca,6,2028.0,0.0362,previsto
ipca,7,2028.0,0.0362,previsto
ipca,8,2028.0,0.0362,previsto
ipca,9,2028.0,0.0362,previsto
ipca,10,2028.0,0.0362,previsto
ipca,11,2028.0,0.0362,previsto
ipca,12,2028.0,0.0362,previsto
inpc,1,2028.0,0.042,previsto
inpc,2,2028.0,0.042,previsto
inpc,3,2028.0,0.042,previsto
inpc,4,2028.0,0.042,previsto
inpc,5,2028.0,0.042,previsto
inpc,6,2028.0,0.042,previsto
inpc,7,2028.0,0.042,previsto
inpc,8,2028.0,0.042,previsto
inpc,9,2028.0,0.042,previsto
inpc,10,2028.0,0.042,previsto
inpc,11,2028.0,0.042,previsto
inpc,12,2028.0,0.042,previsto
igpm,1,2029.0,0.0394,previsto
igpm,2,2029.0,0.0394,previsto
igpm,3,2029.0,0.0394,previsto
igpm,4,2029.0,0.0394,previsto
igpm,5,2029.0,0.0394,previsto
igpm,6,2029.0,0.0394,previsto
igpm,7,2029.0,0.0394,previsto
igpm,8,2029.0,0.0394,previsto
igpm,9,2029.0,0.0394,previsto
igpm,10,2029.0,0.0394,previsto
igpm,11,2029.0,0.0394,previsto
igpm,12,2029.0,0.0394,previsto
ipca,1,2029.0,0.0362,previsto
ipca,2,2029.0,0.0362,previsto
ipca,3,2029.0,0.0362,previsto
ipca,4,2029.0,0.0362,previsto
ipca,5,2029.0,0.0362,previsto
ipca,6,2029.0,0.0362,previsto
ipca,7,2029.0,0.0362,previsto
ipca,8,2029.0,0.0362,previsto
ipca,9,2029.0,0.0362,previsto
ipca,10,2029.0,0.0362,previsto
ipca,11,2029.0,0.0362,previsto
ipca,12,2029.0,0.0362,previsto
inpc,1,2029.0,0.042,previsto
inpc,2,2029.0,0.042,previsto
inpc,3,2029.0,0.042,previsto
inpc,4,2029.0,0.042,previsto
inpc,5,2029.0,0.042,previsto
inpc,6,2029.0,0.042,previsto
inpc,7,2029.0,0.042,previsto
inpc,8,2029.0,0.042,previsto
inpc,9,2029.0,0.042,previsto
inpc,10,2029.0,0.042,previsto
inpc,11,2029.0,0.042,previsto
inpc,12,2029.0,0.042,previsto
igpm,1,2030.0,0.0394,previsto
igpm,2,2030.0,0.0394,previsto
igpm,3,2030.0,0.0394,previsto
igpm,4,2030.0,0.0394,previsto
igpm,5,2030.0,0.0394,previsto
igpm,6,2030.0,0.0394,previsto
igpm,7,2030.0,0.0394,previsto
igpm,8,2030.0,0.0394,previsto
igpm,9,2030.0,0.0394,previsto
igpm,10,2030.0,0.0394,previsto
igpm,11,2030.0,0.0394,previsto
igpm,12,2030.0,0.0394,previsto
ipca,1,2030.0,0.0362,previsto
ipca,2,2030.0,0.0362,previsto
ipca,3,2030.0,0.0362,previsto
ipca,4,2030.0,0.0362,previsto
ipca,5,2030.0,0.0362,previsto
ipca,6,2030.0,0.0362,previsto
ipca,7,2030.0,0.0362,previsto
ipca,8,2030.0,0.0362,previsto
ipca,9,2030.0,0.0362,previsto
ipca,10,2030.0,0.0362,previsto
ipca,11,2030.0,0.0362,previsto
ipca,12,2030.0,0.0362,previsto
inpc,1,2030.0,0.042,previsto
inpc,2,2030.0,0.042,previsto
inpc,3,2030.0,0.042,previsto
inpc,4,2030.0,0.042,previsto
inpc,5,2030.0,0.042,previsto
inpc,6,2030.0,0.042,previsto
inpc,7,2030.0,0.042,previsto
inpc,8,2030.0,0.042,previsto
inpc,9,2030.0,0.042,previsto
inpc,10,2030.0,0.042,previsto
inpc,11,2030.0,0.042,previsto
inpc,12,2030.0,0.042,previsto
igpm,1,2031.0,0.0394,previsto
igpm,2,2031.0,0.0394,previsto
igpm,3,2031.0,0.0394,previsto
igpm,4,2031.0,0.0394,previsto
igpm,5,2031.0,0.0394,previsto
igpm,6,2031.0,0.0394,previsto
igpm,7,2031.0,0.0394,previsto
igpm,8,2031.0,0.0394,previsto
igpm,9,2031.0,0.0394,previsto
igpm,10,2031.0,0.0394,previsto
igpm,11,2031.0,0.0394,previsto
igpm,12,2031.0,0.0394,previsto
ipca,1,2031.0,0.0362,previsto
ipca,2,2031.0,0.0362,previsto
ipca,3,2031.0,0.0362,previsto
ipca,4,2031.0,0.0362,previsto
ipca,5,2031.0,0.0362,previsto
ipca,6,2031.0,0.0362,previsto
ipca,7,2031.0,0.0362,previsto
ipca,8,2031.0,0.0362,previsto
ipca,9,2031.0,0.0362,previsto
ipca,10,2031.0,0.0362,previsto
ipca,11,2031.0,0.0362,previsto
ipca,12,2031.0,0.0362,previsto
inpc,1,2031.0,0.042,previsto
inpc,2,2031.0,0.042,previsto
inpc,3,2031.0,0.042,previsto
inpc,4,2031.0,0.042,previsto
inpc,5,2031.0,0.042,previsto
inpc,6,2031.0,0.042,previsto
inpc,7,2031.0,0.042,previsto
inpc,8,2031.0,0.042,previsto
inpc,9,2031.0,0.042,previsto
inpc,10,2031.0,0.042,previsto
inpc,11,2031.0,0.042,previsto
inpc,12,2031.0,0.042,previsto
igpm,1,2032.0,0.0394,previsto
igpm,2,2032.0,0.0394,previsto
igpm,3,2032.0,0.0394,previsto
igpm,4,2032.0,0.0394,previsto
igpm,5,2032.0,0.0394,previsto
igpm,6,2032.0,0.0394,previsto
igpm,7,2032.0,0.0394,previsto
igpm,8,2032.0,0.0394,previsto
igpm,9,2032.0,0.0394,previsto
igpm,10,2032.0,0.0394,previsto
igpm,11,2032.0,0.0394,previsto
igpm,12,2032.0,0.0394,previsto
ipca,1,2032.0,0.0362,previsto
ipca,2,2032.0,0.0362,previsto
ipca,3,2032.0,0.0362,previsto
ipca,4,2032.0,0.0362,previsto
ipca,5,2032.0,0.0362,previsto
ipca,6,2032.0,0.0362,previsto
ipca,7,2032.0,0.0362,previsto
ipca,8,2032.0,0.0362,previsto
ipca,9,2032.0,0.0362,previsto
ipca,10,2032.0,0.0362,previsto
ipca,11,2032.0,0.0362,previsto
ipca,12,2032.0,0.0362,previsto
inpc,1,2032.0,0.042,previsto
inpc,2,2032.0,0.042,previsto
inpc,3,2032.0,0.042,previsto
inpc,4,2032.0,0.042,previsto
inpc,5,2032.0,0.042,previsto
inpc,6,2032.0,0.042,previsto
inpc,7,2032.0,0.042,previsto
inpc,8,2032.0,0.042,previsto
inpc,9,2032.0,0.042,previsto
inpc,10,2032.0,0.042,previsto
inpc,11,2032.0,0.042,previsto
inpc,12,2032.0,0.042,previsto
igpm,1,2033.0,0.0394,previsto
igpm,2,2033.0,0.0394,previsto
igpm,3,2033.0,0.0394,previsto
igpm,4,2033.0,0.0394,previsto
igpm,5,2033.0,0.0394,previsto
igpm,6,2033.0,0.0394,previsto
igpm,7,2033.0,0.0394,previsto
igpm,8,2033.0,0.0394,previsto
igpm,9,2033.0,0.0394,previsto
igpm,10,2033.0,0.0394,previsto
igpm,11,2033.0,0.0394,previsto
igpm,12,2033.0,0.0394,previsto
ipca,1,2033.0,0.0362,previsto
ipca,2,2033.0,0.0362,previsto
ipca,3,2033.0,0.0362,previsto
ipca,4,2033.0,0.0362,previsto
ipca,5,2033.0,0.0362,previsto
ipca,6,2033.0,0.0362,previsto
ipca,7,2033.0,0.0362,previsto
ipca,8,2033.0,0.0362,previsto
ipca,9,2033.0,0.0362,previsto
ipca,10,2033.0,0.0362,previsto
ipca,11,2033.0,0.0362,previsto
ipca,12,2033.0,0.0362,previsto
inpc,1,2033.0,0.042,previsto
inpc,2,2033.0,0.042,previsto
inpc,3,2033.0,0.042,previsto
inpc,4,2033.0,0.042,previsto
inpc,5,2033.0,0.042,previsto
inpc,6,2033.0,0.042,previsto
inpc,7,2033.0,0.042,previsto
inpc,8,2033.0,0.042,previsto
inpc,9,2033.0,0.042,previsto
inpc,10,2033.0,0.042,previsto
inpc,11,2033.0,0.042,previsto
inpc,12,2033.0,0.042,previsto
igpm,1,2034.0,0.0394,previsto
igpm,2,2034.0,0.0394,previsto
igpm,3,2034.0,0.0394,previsto
igpm,4,2034.0,0.0394,previsto
igpm,5,2034.0,0.0394,previsto
igpm,6,2034.0,0.0394,previsto
igpm,7,2034.0,0.0394,previsto
igpm,8,2034.0,0.0394,previsto
igpm,9,2034.0,0.0394,previsto
igpm,10,2034.0,0.0394,previsto
igpm,11,2034.0,0.0394,previsto
igpm,12,2034.0,0.0394,previsto
ipca,1,2034.0,0.0362,previsto
ipca,2,2034.0,0.0362,previsto
ipca,3,2034.0,0.0362,previsto
ipca,4,2034.0,0.0362,previsto
ipca,5,2034.0,0.0362,previsto
ipca,6,2034.0,0.0362,previsto
ipca,7,2034.0,0.0362,previsto
ipca,8,2034.0,0.0362,previsto
ipca,9,2034.0,0.0362,previsto
ipca,10,2034.0,0.0362,previsto
ipca,11,2034.0,0.0362,previsto
ipca,12,2034.0,0.0362,previsto
inpc,1,2034.0,0.042,previsto
inpc,2,2034.0,0.042,previsto
inpc,3,2034.0,0.042,previsto
inpc,4,2034.0,0.042,previsto
inpc,5,2034.0,0.042,previsto
inpc,6,2034.0,0.042,previsto
inpc,7,2034.0,0.042,previsto
inpc,8,2034.0,0.042,previsto
inpc,9,2034.0,0.042,previsto
inpc,10,2034.0,0.042,previsto
inpc,11,2034.0,0.042,previsto
inpc,12,2034.0,0.042,previsto
igpm,1,2035.0,0.0394,previsto
igpm,2,2035.0,0.0394,previsto
igpm,3,2035.0,0.0394,previsto
igpm,4,2035.0,0.0394,previsto
igpm,5,2035.0,0.0394,previsto
igpm,6,2035.0,0.0394,previsto
igpm,7,2035.0,0.0394,previsto
igpm,8,2035.0,0.0394,previsto
igpm,9,2035.0,0.0394,previsto
igpm,10,2035.0,0.0394,previsto
igpm,11,2035.0,0.0394,previsto
igpm,12,2035.0,0.0394,previsto
ipca,1,2035.0,0.0362,previsto
ipca,2,2035.0,0.0362,previsto
ipca,3,2035.0,0.0362,previsto
ipca,4,2035.0,0.0362,previsto
ipca,5,2035.0,0.0362,previsto
ipca,6,2035.0,0.0362,previsto
ipca,7,2035.0,0.0362,previsto
ipca,8,2035.0,0.0362,previsto
ipca,9,2035.0,0.0362,previsto
ipca,10,2035.0,0.0362,previsto
ipca,11,2035.0,0.0362,previsto
ipca,12,2035.0,0.0362,previsto
inpc,1,2035.0,0.042,previsto
inpc,2,2035.0,0.042,previsto
inpc,3,2035.0,0.042,previsto
inpc,4,2035.0,0.042,previsto
inpc,5,2035.0,0.042,previsto
inpc,6,2035.0,0.042,previsto
inpc,7,2035.0,0.042,previsto
inpc,8,2035.0,0.042,previsto
inpc,9,2035.0,0.042,previsto
inpc,10,2035.0,0.042,previsto
inpc,11,2035.0,0.042,previsto
inpc,12,2035.0,0.042,previsto
igpm,1,2036.0,0.0394,previsto
igpm,2,2036.0,0.0394,previsto
igpm,3,2036.0,0.0394,previsto
igpm,4,2036.0,0.0394,previsto
igpm,5,2036.0,0.0394,previsto
igpm,6,2036.0,0.0394,previsto
igpm,7,2036.0,0.0394,previsto
igpm,8,2036.0,0.0394,previsto
igpm,9,2036.0,0.0394,previsto
igpm,10,2036.0,0.0394,previsto
igpm,11,2036.0,0.0394,previsto
igpm,12,2036.0,0.0394,previsto
ipca,1,2036.0,0.0362,previsto
ipca,2,2036.0,0.0362,previsto
ipca,3,2036.0,0.0362,previsto
ipca,4,2036.0,0.0362,previsto
ipca,5,2036.0,0.0362,previsto
ipca,6,2036.0,0.0362,previsto
ipca,7,2036.0,0.0362,previsto
ipca,8,2036.0,0.0362,previsto
ipca,9,2036.0,0.0362,previsto
ipca,10,2036.0,0.0362,previsto
ipca,11,2036.0,0.0362,previsto
ipca,12,2036.0,0.0362,previsto
inpc,1,2036.0,0.042,previsto
inpc,2,2036.0,0.042,previsto
inpc,3,2036.0,0.042,previsto
inpc,4,2036.0,0.042,previsto
inpc,5,2036.0,0.042,previsto
inpc,6,2036.0,0.042,previsto
inpc,7,2036.0,0.042,previsto
inpc,8,2036.0,0.042,previsto
inpc,9,2036.0,0.042,previsto
inpc,10,2036.0,0.042,previsto
inpc,11,2036.0,0.042,previsto
inpc,12,2036.0,0.042,previsto
igpm,1,2037.0,0.0394,previsto
igpm,2,2037.0,0.0394,previsto
igpm,3,2037.0,0.0394,previsto
igpm,4,2037.0,0.0394,previsto
igpm,5,2037.0,0.0394,previsto
igpm,6,2037.0,0.0394,previsto
igpm,7,2037.0,0.0394,previsto
igpm,8,2037.0,0.0394,previsto
igpm,9,2037.0,0.0394,previsto
igpm,10,2037.0,0.0394,previsto
igpm,11,2037.0,0.0394,previsto
igpm,12,2037.0,0.0394,previsto
ipca,1,2037.0,0.0362,previsto
ipca,2,2037.0,0.0362,previsto
ipca,3,2037.0,0.0362,previsto
ipca,4,2037.0,0.0362,previsto
ipca,5,2037.0,0.0362,previsto
ipca,6,2037.0,0.0362,previsto
ipca,7,2037.0,0.0362,previsto
ipca,8,2037.0,0.0362,previsto
ipca,9,2037.0,0.0362,previsto
ipca,10,2037.0,0.0362,previsto
ipca,11,2037.0,0.0362,previsto
ipca,12,2037.0,0.0362,previsto
inpc,1,2037.0,0.042,previsto
inpc,2,2037.0,0.042,previsto
inpc,3,2037.0,0.042,previsto
inpc,4,2037.0,0.042,previsto
inpc,5,2037.0,0.042,previsto
inpc,6,2037.0,0.042,previsto
inpc,7,2037.0,0.042,previsto
inpc,8,2037.0,0.042,previsto
inpc,9,2037.0,0.042,previsto
inpc,10,2037.0,0.042,previsto
inpc,11,2037.0,0.042,previsto
inpc,12,2037.0,0.042,previsto
igpm,1,2038.0,0.0394,previsto
igpm,2,2038.0,0.0394,previsto
igpm,3,2038.0,0.0394,previsto
igpm,4,2038.0,0.0394,previsto
igpm,5,2038.0,0.0394,previsto
igpm,6,2038.0,0.0394,previsto
igpm,7,2038.0,0.0394,previsto
igpm,8,2038.0,0.0394,previsto
igpm,9,2038.0,0.0394,previsto
igpm,10,2038.0,0.0394,previsto
igpm,11,2038.0,0.0394,previsto
igpm,12,2038.0,0.0394,previsto
ipca,1,2038.0,0.0362,previsto
ipca,2,2038.0,0.0362,previsto
ipca,3,2038.0,0.0362,previsto
ipca,4,2038.0,0.0362,previsto
ipca,5,2038.0,0.0362,previsto
ipca,6,2038.0,0.0362,previsto
ipca,7,2038.0,0.0362,previsto
ipca,8,2038.0,0.0362,previsto
ipca,9,2038.0,0.0362,previsto
ipca,10,2038.0,0.0362,previsto
ipca,11,2038.0,0.0362,previsto
ipca,12,2038.0,0.0362,previsto
inpc,1,2038.0,0.042,previsto
inpc,2,2038.0,0.042,previsto
inpc,3,2038.0,0.042,previsto
inpc,4,2038.0,0.042,previsto
inpc,5,2038.0,0.042,previsto
inpc,6,2038.0,0.042,previsto
inpc,7,2038.0,0.042,previsto
inpc,8,2038.0,0.042,previsto
inpc,9,2038.0,0.042,previsto
inpc,10,2038.0,0.042,previsto
inpc,11,2038.0,0.042,previsto
inpc,12,2038.0,0.042,previsto
igpm,1,2039.0,0.0394,previsto
igpm,2,2039.0,0.0394,previsto
igpm,3,2039.0,0.0394,previsto
igpm,4,2039.0,0.0394,previsto
igpm,5,2039.0,0.0394,previsto
igpm,6,2039.0,0.0394,previsto
igpm,7,2039.0,0.0394,previsto
igpm,8,2039.0,0.0394,previsto
igpm,9,2039.0,0.0394,previsto
igpm,10,2039.0,0.0394,previsto
igpm,11,2039.0,0.0394,previsto
igpm,12,2039.0,0.0394,previsto
ipca,1,2039.0,0.0362,previsto
ipca,2,2039.0,0.0362,previsto
ipca,3,2039.0,0.0362,previsto
ipca,4,2039.0,0.0362,previsto
ipca,5,2039.0,0.0362,previsto
ipca,6,2039.0,0.0362,previsto
ipca,7,2039.0,0.0362,previsto
ipca,8,2039.0,0.0362,previsto
ipca,9,2039.0,0.0362,previsto
ipca,10,2039.0,0.0362,previsto
ipca,11,2039.0,0.0362,previsto
ipca,12,2039.0,0.0362,previsto
inpc,1,2039.0,0.042,previsto
inpc,2,2039.0,0.042,previsto
inpc,3,2039.0,0.042,previsto
inpc,4,2039.0,0.042,previsto
inpc,5,2039.0,0.042,previsto
inpc,6,2039.0,0.042,previsto
inpc,7,2039.0,0.042,previsto
inpc,8,2039.0,0.042,previsto
inpc,9,2039.0,0.042,previsto
inpc,10,2039.0,0.042,previsto
inpc,11,2039.0,0.042,previsto
inpc,12,2039.0,0.042,previsto
igpm,1,2040.0,0.0394,previsto
igpm,2,2040.0,0.0394,previsto
igpm,3,2040.0,0.0394,previsto
igpm,4,2040.0,0.0394,previsto
igpm,5,2040.0,0.0394,previsto
igpm,6,2040.0,0.0394,previsto
igpm,7,2040.0,0.0394,previsto
igpm,8,2040.0,0.0394,previsto
igpm,9,2040.0,0.0394,previsto
igpm,10,2040.0,0.0394,previsto
igpm,11,2040.0,0.0394,previsto
igpm,12,2040.0,0.0394,previsto
ipca,1,2040.0,0.0362,previsto
ipca,2,2040.0,0.0362,previsto
ipca,3,2040.0,0.0362,previsto
ipca,4,2040.0,0.0362,previsto
ipca,5,2040.0,0.0362,previsto
ipca,6,2040.0,0.0362,previsto
ipca,7,2040.0,0.0362,previsto
ipca,8,2040.0,0.0362,previsto
ipca,9,2040.0,0.0362,previsto
ipca,10,2040.0,0.0362,previsto
ipca,11,2040.0,0.0362,previsto
ipca,12,2040.0,0.0362,previsto
inpc,1,2040.0,0.042,previsto
inpc,2,2040.0,0.042,previsto
inpc,3,2040.0,0.042,previsto
inpc,4,2040.0,0.042,previsto
inpc,5,2040.0,0.042,previsto
inpc,6,2040.0,0.042,previsto
inpc,7,2040.0,0.042,previsto
inpc,8,2040.0,0.042,previsto
inpc,9,2040.0,0.042,previsto
inpc,10,2040.0,0.042,previsto
inpc,11,2040.0,0.042,previsto
inpc,12,2040.0,0.042,previsto
